"Status","Name","Duration in ms","Description"
"passed","testCase.test_02order.TestOrder#test_query","2198",""
"failed","testCase.test_02order.TestOrder#test_save","1",""
"passed","testCase.test_02order.TestOrder#test_submit","0",""
"passed","testCase.test_01order.TestOrder#test_submit","1",""
"failed","testCase.test_01order.TestOrder#test_save","1",""
"passed","testCase.test_01order.TestOrder#test_query","3899","登录token状态码验证"
